,0
0.95,"[ 0.01324768  0.02462029  0.01170329  0.02857353  0.          0.00290546
  0.          0.          0.01473894  0.02392833  0.00504355  0.00312699
  0.00980655  0.00152556  0.00695185  0.01334554  0.03208825  0.01098017
  0.00620733  0.00831732  0.01291408  0.00802304  0.01138283  0.01452233
  0.01156647  0.01114549  0.00143678  0.02324672  0.01217106  0.
  0.01190654  0.00565718  0.01455863  0.01932059  0.00863058  0.00241952
  0.01581277 -0.00024823  0.          0.00766833  0.00595977  0.0055977
  0.01623595  0.00538134  0.00586142  0.01571189  0.01052645  0.01384596
  0.0083681   0.00689329  0.          0.0051779   0.00426973  0.
  0.01311433  0.00936585  0.0041738   0.0165596   0.01253274  0.00890981
  0.01161842  0.00470548  0.0158001   0.          0.01378426  0.01081508
  0.          0.00204462  0.01509537  0.0006365   0.00422997  0.01514008
  0.01072409  0.01626605  0.00284923  0.02254915  0.01798484  0.01149106
 -0.00076205  0.02140942  0.01354227  0.          0.00595906  0.00556533
  0.02392861  0.0137276   0.01107698  0.01597455  0.01121004  0.01209338
  0.          0.01840218  0.00262403  0.01130496  0.00650413  0.01849415
  0.00719638  0.02550562  0.01207168  0.0107064 ]"
0.9,"[ 1.34471131e-02  2.23233639e-02  1.16200812e-02  2.76019197e-02
  0.00000000e+00  3.07528886e-03  0.00000000e+00  0.00000000e+00
  1.40765445e-02  2.35543947e-02  5.81824054e-03  2.81519623e-03
  9.96053404e-03  2.14046325e-03  6.85175891e-03  1.40112847e-02
  3.20914339e-02  1.09779713e-02  6.44568819e-03  8.17088800e-03
  1.32073231e-02  8.42104286e-03  1.06073209e-02  1.44714635e-02
  1.28045801e-02  1.21364437e-02  1.32779539e-03  2.38632768e-02
  1.19991939e-02  0.00000000e+00  1.12080562e-02  6.38911595e-03
  1.39959288e-02  1.90641841e-02  8.46077649e-03  2.17467762e-03
  1.58628851e-02 -1.87436533e-04  0.00000000e+00  7.32941914e-03
  5.55150140e-03  5.60994374e-03  1.66593843e-02  5.82574496e-03
  5.45087728e-03  1.61821866e-02  1.09190141e-02  1.39725060e-02
  7.98112687e-03  7.07730890e-03  9.98573731e-06  5.00179547e-03
  4.76332520e-03  0.00000000e+00  1.30975961e-02  9.32025778e-03
  4.34708765e-03  1.60880816e-02  1.23728878e-02  5.38367314e-03
  1.12650445e-02  4.99906087e-03  1.66574599e-02 -2.08175598e-04
  1.41238100e-02  1.00355770e-02 -6.64515627e-04  2.00309608e-03
  1.56742025e-02  4.32395737e-04  3.96774850e-03  1.55144206e-02
  1.06266851e-02  1.76123714e-02  3.22858787e-03  2.27995942e-02
  1.77099627e-02  1.18947205e-02 -1.35752551e-03  2.18352550e-02
  1.31967524e-02  0.00000000e+00  5.97946940e-03  4.77639430e-03
  2.42063063e-02  1.35036617e-02  1.11962508e-02  1.60003888e-02
  1.12396535e-02  1.25452382e-02  0.00000000e+00  1.81026499e-02
  3.14456970e-03  1.14142864e-02  6.15454777e-03  1.84442055e-02
  7.98362741e-03  2.59093794e-02  1.26545335e-02  1.16658122e-02]"
0.85,"[ 0.01345825  0.02189911  0.0111996   0.02789567  0.          0.00337849
  0.00037223  0.          0.01414381  0.02392325  0.00649007  0.00257721
  0.01067216  0.00220506  0.00735796  0.0144851   0.03217422  0.01072783
  0.00685971  0.00796883  0.01283429  0.00881483  0.01068889  0.01441783
  0.01109469  0.01262294  0.00097833  0.02407232  0.01200234  0.
  0.01150414  0.00719517  0.0138009   0.01912325  0.00875405  0.00141639
  0.01528137 -0.00067225  0.          0.00743218  0.0058812   0.00547581
  0.01678911  0.00567583  0.00586767  0.01642253  0.01098093  0.01431361
  0.00778927  0.00727729  0.00039897  0.00488117  0.00470001  0.
  0.01337886  0.00894921  0.00417725  0.01541792  0.01212539  0.00580565
  0.01125946  0.00516045  0.018392   -0.00035472  0.01203399  0.00947433
 -0.00089226  0.00185365  0.01503335  0.00065283  0.00409748  0.01511756
  0.01001651  0.01942725  0.00363537  0.02297407  0.01736332  0.01168601
 -0.00202349  0.02185356  0.01307743  0.          0.00590177  0.0042461
  0.02456185  0.01315268  0.01135627  0.0163268   0.01162489  0.01197735
  0.          0.0171787   0.00367301  0.01168165  0.00562009  0.01899141
  0.00828601  0.02555868  0.01293404  0.01163264]"
0.8,"[ 0.01383412  0.02481077  0.01098162  0.02776123  0.          0.00327547
  0.          0.          0.01394762  0.0238779   0.00655557  0.00278997
  0.01064226  0.00249905  0.00728113  0.01438722  0.0318861   0.01095386
  0.00698181  0.0078503   0.01289088  0.00900411  0.01041851  0.01449772
  0.0114497   0.01255495  0.00118966  0.02411777  0.01219957  0.
  0.01134275  0.00710624  0.01370376  0.01912251  0.00918972  0.00180153
  0.01497015 -0.0011825  -0.00018052  0.00783199  0.006097    0.00550381
  0.01677759  0.00578879  0.00620975  0.01639461  0.01061959  0.01456935
  0.00737035  0.00688459  0.0006339   0.00489261  0.00482277 -0.00053503
  0.01377019  0.0087838   0.00427875  0.01539487  0.01240908  0.00569227
  0.01119819  0.00540619  0.01779425 -0.00039956  0.01127296  0.00938053
 -0.00096238  0.00147994  0.01493865  0.00117153  0.00424948  0.0150245
  0.0099587   0.01884599  0.00361462  0.02333714  0.01752496  0.01180203
 -0.00225308  0.02175279  0.01341846  0.          0.00586927  0.00416663
  0.02469806  0.01314572  0.01144387  0.01638732  0.01148794  0.01168789
  0.          0.01740793  0.00329774  0.01091975  0.00516039  0.01880646
  0.00816203  0.02575926  0.01303786  0.01130286]"
0.75,"[ 1.42465542e-02  2.51842062e-02  1.12880258e-02  2.53266993e-02
  0.00000000e+00  3.11332279e-03  0.00000000e+00  0.00000000e+00
  1.36701142e-02  2.37674714e-02  7.17550570e-03  3.54754910e-03
  1.04289107e-02  2.46869055e-03  7.41082900e-03  1.49477183e-02
  3.15027767e-02  1.14828741e-02  6.63377782e-03  8.15372962e-03
  1.29885581e-02  9.24369948e-03  1.06346722e-02  1.47836062e-02
  1.17631085e-02  1.26952639e-02  1.36156024e-03  2.47025768e-02
  1.21463644e-02  0.00000000e+00  1.09620749e-02  7.01524460e-03
  1.33414464e-02  1.82950480e-02  9.49666396e-03  1.79893290e-03
  1.51007949e-02 -1.19101176e-03 -9.18681169e-04  8.25063071e-03
  6.25408563e-03  5.77266313e-03  1.70845143e-02  6.26781267e-03
  6.72204315e-03  1.69971836e-02  1.07288291e-02  1.43124361e-02
  7.05492268e-03  6.59245235e-03  8.45314640e-04  4.91094160e-03
  4.56830183e-03 -4.43593671e-04  1.44736027e-02  7.51068296e-03
  4.62597179e-03  1.50697346e-02  1.29875009e-02  5.96286170e-03
  1.12241695e-02  5.90447550e-03  1.67340701e-02 -7.91070735e-04
  1.11432153e-02  9.49777875e-03 -1.35723393e-03  1.22645184e-03
  1.43914783e-02  1.63672272e-03  4.66463982e-03  1.56875546e-02
  1.01876281e-02  1.72147618e-02  3.26508809e-03  2.35062632e-02
  1.81179818e-02  1.19598757e-02 -2.45497862e-03  2.15945480e-02
  1.36968172e-02  0.00000000e+00  5.82695431e-03  4.42324172e-03
  2.47736088e-02  1.27161944e-02  1.15140047e-02  1.68626202e-02
  1.11070225e-02  1.18411952e-02  4.78794462e-05  1.78345665e-02
  3.16780547e-03  1.01572261e-02  4.83104395e-03  1.89421943e-02
  7.83443327e-03  2.58509840e-02  1.27960645e-02  1.13051532e-02]"
0.7,"[ 0.01428271  0.02452462  0.01148591  0.02484801  0.          0.00303426
  0.          0.          0.01337918  0.02375614  0.00730075  0.00371671
  0.01056003  0.00245672  0.00748549  0.01504762  0.03117255  0.01191095
  0.00680136  0.00836846  0.0129482   0.00972543  0.01065152  0.01462998
  0.01193931  0.01298259  0.00155066  0.02518511  0.01181618 -0.00017784
  0.01071636  0.00694254  0.01305411  0.01612222  0.0092798   0.00161464
  0.01485566 -0.00132056 -0.00144547  0.00834206  0.00623672  0.00588761
  0.0172685   0.0058974   0.00686298  0.01745941  0.01089346  0.01405613
  0.00716596  0.00686043  0.00091251  0.00480447  0.00458318 -0.00042617
  0.01421202  0.00752999  0.00485346  0.01504991  0.01302205  0.00607801
  0.01117944  0.00607224  0.01623918 -0.0011571   0.01138676  0.00962477
 -0.00159764  0.00079169  0.01399661  0.0019123   0.00467799  0.01593202
  0.01042175  0.01693758  0.00323129  0.02364027  0.01847491  0.01199164
 -0.00281621  0.02284979  0.01376102  0.          0.00575465  0.00439643
  0.02463964  0.01241808  0.01167066  0.01734951  0.01112301  0.01236648
  0.          0.01803635  0.00372963  0.01009874  0.00491546  0.01937815
  0.00772932  0.0257814   0.01240484  0.01190534]"
0.65,"[ 1.46739464e-02  2.46879053e-02  1.15637822e-02  2.50860327e-02
  0.00000000e+00  2.83310717e-03  0.00000000e+00  0.00000000e+00
  1.33514213e-02  2.39642802e-02  7.37490940e-03  3.72167023e-03
  1.04915778e-02  2.43091500e-03  7.66593463e-03  1.53757261e-02
  3.11012959e-02  1.21601230e-02  6.91383113e-03  7.99812712e-03
  1.27341551e-02  9.93742848e-03  1.07287870e-02  1.47416868e-02
  1.17061372e-02  1.29266042e-02  1.82625768e-03  2.55353123e-02
  1.16650661e-02 -5.14418301e-04  1.04883157e-02  7.15559090e-03
  1.27651580e-02  1.56992652e-02  9.39966087e-03  1.10545178e-03
  1.44307526e-02 -1.29845180e-03 -1.79997237e-03  8.40560648e-03
  6.38692106e-03  5.72610572e-03  1.72566108e-02  5.72620551e-03
  7.11136816e-03  1.80106651e-02  1.07868908e-02  1.38327554e-02
  7.30191172e-03  6.74327678e-03  9.34125512e-04  4.78505382e-03
  4.47780148e-03 -7.13927962e-04  1.43257300e-02  6.10814558e-03
  4.87083108e-03  1.50146179e-02  1.33382025e-02  5.95538545e-03
  1.10516219e-02  6.29620839e-03  1.65236289e-02 -1.28084747e-03
  1.14945744e-02  9.45868030e-03 -1.80456416e-03  6.21419587e-04
  1.30898195e-02  2.24642373e-03  4.35595522e-03  1.58921463e-02
  1.03313390e-02  1.66491408e-02  3.15146239e-03  2.38873441e-02
  1.88970662e-02  1.21972411e-02 -3.38530213e-03  2.35636589e-02
  1.38907426e-02  0.00000000e+00  5.97078510e-03  4.29015750e-03
  2.50249246e-02  1.23675850e-02  1.19613147e-02  1.75122092e-02
  1.23564967e-02  1.23142914e-02  2.39437213e-06  1.80126084e-02
  3.93062623e-03  9.80245644e-03  4.61170212e-03  1.96493889e-02
  7.78254274e-03  2.56428441e-02  1.24272372e-02  1.22010195e-02]"
0.6,"[ 1.48873629e-02  2.43389961e-02  1.15004762e-02  2.60192927e-02
 -1.07019275e-05  2.95364476e-03  0.00000000e+00  0.00000000e+00
  1.35560664e-02  2.40493006e-02  7.37615054e-03  3.50758995e-03
  1.07668358e-02  2.42988611e-03  8.20436804e-03  1.55778333e-02
  3.10495195e-02  1.23286365e-02  7.15739372e-03  7.63098442e-03
  1.25240117e-02  1.01382642e-02  1.07908871e-02  1.47414429e-02
  1.15820351e-02  1.28694154e-02  1.96497798e-03  2.55397108e-02
  1.11707321e-02 -1.11619190e-03  9.85310337e-03  7.26852457e-03
  1.25698365e-02  1.56695200e-02  9.61418737e-03  9.06224270e-04
  1.41972828e-02 -1.21846590e-03 -1.99394718e-03  8.54434358e-03
  6.37554359e-03  5.39739676e-03  1.73652880e-02  5.51096037e-03
  7.24083010e-03  1.84028137e-02  1.08539206e-02  1.37756888e-02
  7.31611876e-03  7.03314580e-03  9.00835195e-04  4.60754377e-03
  4.59236262e-03 -1.07495019e-03  1.42201035e-02  6.08959737e-03
  4.89323628e-03  1.48822010e-02  1.36590738e-02  5.84827610e-03
  1.11142299e-02  6.51027324e-03  1.72045626e-02 -1.39782034e-03
  1.14651910e-02  8.99315195e-03 -2.04952975e-03  3.70827652e-04
  1.16824531e-02  2.09392698e-03  4.06181266e-03  1.56725579e-02
  9.98216871e-03  1.67538531e-02  3.20584352e-03  2.40821262e-02
  1.89849672e-02  1.25430697e-02 -3.82848117e-03  2.32257390e-02
  1.41078413e-02 -1.01779655e-05  6.16275425e-03  3.92377378e-03
  2.54729046e-02  1.26664747e-02  1.23623510e-02  1.76435411e-02
  1.32598131e-02  1.23020553e-02  0.00000000e+00  1.78103614e-02
  4.19258339e-03  9.60832243e-03  4.45584905e-03  1.99034263e-02
  7.97958494e-03  2.54829123e-02  1.27586469e-02  1.24165426e-02]"
0.55,"[ 0.01495241  0.02405127  0.01120391  0.02683824 -0.0001456   0.003177
  0.          0.          0.01328423  0.02410881  0.00739986  0.00324783
  0.01093905  0.00254883  0.00864969  0.0157861   0.03110345  0.01251572
  0.00747663  0.0073198   0.01225187  0.01014813  0.01064924  0.01455056
  0.0117904   0.01306143  0.00181479  0.02585556  0.01100639 -0.00161386
  0.00878206  0.00741318  0.01236144  0.01576984  0.00981443  0.00064287
  0.01393336 -0.00122608 -0.00199246  0.00868786  0.00733992  0.00514827
  0.01731336  0.00531047  0.00735153  0.01871004  0.01094176  0.01414427
  0.00724096  0.00722042  0.00095682  0.00430523  0.00477829 -0.00138
  0.0141738   0.00616665  0.00510815  0.01439937  0.01359697  0.00560542
  0.01102388  0.00656983  0.0187472  -0.00159038  0.01143424  0.00856005
 -0.00224442  0.          0.01170684  0.00180785  0.00409368  0.01543534
  0.00979229  0.01687164  0.00326106  0.02426377  0.01892064  0.01295041
 -0.00440973  0.02292945  0.01424254 -0.00012662  0.00627454  0.00325775
  0.02564693  0.01234261  0.01239977  0.01764536  0.01359182  0.01233316
  0.          0.01754213  0.00439661  0.00935279  0.00413654  0.02014197
  0.00823113  0.02556293  0.01333954  0.0129749 ]"
